adjustment,cell_class,pathology,other_region,locus_id,anchors,S_DFC,S_other,Delta_S_DFC_minus_other
standard,Oligo,CERAD,MEC,AD|COX7C,1,0.4768164255261225,0.7761791932326702,-0.29936276770654763
standard,Oligo,CERAD,MEC,AD|DOC2A,1,-0.612651365577373,-0.6761752291435484,0.06352386356617545
standard,Oligo,CERAD,MEC,AD|EPDR1,1,0.1917479713057311,-0.7815178730864176,0.9732658443921487
standard,Oligo,CERAD,MEC,AD|GRN,1,0.0976730702361348,-0.5591637865808939,0.6568368568170287
standard,Oligo,CERAD,MEC,AD|PRKD3,1,-0.8686190949309817,-0.6976114975647376,-0.17100759736624405
standard,Oligo,CERAD,MEC,AD|SPDYE3,1,0.9821120563797184,0.9963822400036002,-0.014270183623881771
standard,Oligo,CERAD,MEC,AD|SPPL2A,1,0.0424030167792485,0.5280513826596944,-0.4856483658804459
standard,Oligo,CERAD,MTG,AD|ABCA7,1,0.9387490656481888,0.5008116089091713,0.4379374567390175
standard,Oligo,CERAD,MTG,AD|APH1B,1,-0.6979825729681111,-0.7531461828481738,0.05516360988006275
standard,Oligo,CERAD,MTG,AD|COX7C,1,0.4768164255261225,0.1121776485655345,0.364638776960588
standard,Oligo,CERAD,MTG,AD|DOC2A,1,-0.612651365577373,-0.9876907345529872,0.3750393689756142
standard,Oligo,CERAD,MTG,AD|EPDR1,1,0.1917479713057311,-0.228964364523119,0.4207123358288501
standard,Oligo,CERAD,MTG,AD|GRN,1,0.0976730702361348,-0.930012622407579,1.027685692643714
standard,Oligo,CERAD,MTG,AD|PRKD3,1,-0.8686190949309817,-0.859278449928252,-0.009340645002729686
standard,Oligo,CERAD,MTG,AD|SPDYE3,1,0.9821120563797184,0.8815504836087669,0.10056157277095157
standard,Oligo,CERAD,MTG,AD|SPPL2A,1,0.0424030167792485,-0.7243943272659139,0.7667973440451624
standard,Oligo,Braak,MEC,AD|ABCA7,1,0.957830233546104,0.8422515554964716,0.1155786780496324
standard,Oligo,Braak,MEC,AD|APH1B,1,-0.2782551725309229,-0.792011550902747,0.5137563783718241
standard,Oligo,Braak,MEC,AD|COX7C,1,-0.174873281181606,0.530264861033369,-0.705138142214975
standard,Oligo,Braak,MEC,AD|DOC2A,1,-0.6557146158638438,-0.7858454539502233,0.13013083808637949
standard,Oligo,Braak,MEC,AD|EPDR1,1,-0.1928608589108216,0.2051456907744356,-0.39800654968525717
standard,Oligo,Braak,MEC,AD|GRN,1,-0.3906675930155268,-0.5933507145730743,0.20268312155754753
standard,Oligo,Braak,MEC,AD|PRKD3,1,-0.5593394075888044,-0.919978724538838,0.3606393169500336
standard,Oligo,Braak,MEC,AD|SPDYE3,1,0.680417950861635,0.9823464661569404,-0.3019285152953054
standard,Oligo,Braak,MEC,AD|SPPL2A,1,0.315174712299231,0.9200385501082854,-0.6048638378090544
standard,Oligo,Braak,MTG,AD|ABCA7,1,0.957830233546104,0.8100430725929807,0.14778716095312328
standard,Oligo,Braak,MTG,AD|APH1B,1,-0.2782551725309229,-0.8632735601350161,0.5850183876040932
standard,Oligo,Braak,MTG,AD|COX7C,1,-0.174873281181606,-0.3775159257897758,0.20264264460816978
standard,Oligo,Braak,MTG,AD|DOC2A,1,-0.6557146158638438,-0.9987767776778655,0.3430621618140217
standard,Oligo,Braak,MTG,AD|EPDR1,1,-0.1928608589108216,0.1257614983076024,-0.318622357218424
standard,Oligo,Braak,MTG,AD|GRN,1,-0.3906675930155268,-0.9810429274994684,0.5903753344839416
standard,Oligo,Braak,MTG,AD|PRKD3,1,-0.5593394075888044,-0.7583157100967166,0.1989763025079122
standard,Oligo,Braak,MTG,AD|SPDYE3,1,0.680417950861635,0.3395837941046211,0.34083415675701395
standard,Oligo,Braak,MTG,AD|SPPL2A,1,0.315174712299231,-0.4922820286730446,0.8074567409722756
standard,EN,CERAD,MEC,AD|ADAM17,3,-0.2664587661885816,-0.23970992035316027,-0.026748845835421337
standard,EN,CERAD,MEC,AD|APH1B,1,-0.8833740588442589,-0.9114879501239752,0.028113891279716308
standard,EN,CERAD,MEC,AD|CD2AP,1,0.8542623834044986,0.947915515648852,-0.09365313224435345
standard,EN,CERAD,MEC,AD|CTSH,1,-0.5467319616011783,0.2339492621491665,-0.7806812237503449
standard,EN,CERAD,MEC,AD|DOC2A,2,-0.060630332340680715,0.09422352824067011,-0.1548538605813508
standard,EN,CERAD,MEC,AD|GRN,1,-0.79242481103349,-0.8760014230909996,0.08357661205750955
standard,EN,CERAD,MEC,AD|JAZF1,1,-0.5237663878353387,-0.6065265431614622,0.08276015532612346
standard,EN,CERAD,MEC,AD|PLEKHA1,1,0.8325321794630279,0.916206605153672,-0.0836744256906441
standard,EN,CERAD,MEC,AD|RBCK1,1,0.9170672799307829,0.91405584939624,0.0030114305345428916
standard,EN,CERAD,MEC,AD|TNIP1,1,-0.7902886103281908,-0.840243301947547,0.049954691619356284
standard,EN,CERAD,MEC,AD|TPCN1,1,0.0912350210374491,-0.4140498143600666,0.5052848353975157
standard,EN,CERAD,MEC,AD|TSPAN14,1,-0.1686039650045183,-0.0427465134627895,-0.12585745154172878
standard,EN,CERAD,MEC,AD|WDR12,3,-0.6072135707303662,-0.4027107440301237,-0.2045028267002425
standard,EN,CERAD,MTG,AD|ADAM17,3,-0.2664587661885816,-0.2148787057025995,-0.0515800604859821
